809,162,887,162,887,219,809,219,Latin,急
792,167,805,165,814,217,801,219,Latin,WW
876,235,893,166,952,181,935,250,Latin,-
713,183,767,174,777,235,723,244,Latin,&
962,323,1075,323,1075,459,962,459,Latin,橋
772,335,881,329,887,456,778,461,Latin,流
595,341,708,341,708,459,595,459,Latin,も
857,494,909,494,909,542,857,542,Latin,先
765,494,809,494,809,542,765,542,Latin,行
590,621,695,621,695,678,590,678,Latin,仙01
988,682,1084,682,1084,774,988,774,Latin,통자
595,682,682,682,682,774,595,774,Latin,仙|
787,682,883,682,883,778,787,778,Latin,IN
887,1167,949,1167,949,1220,887,1220,Latin,2
877,1291,883,1219,952,1224,946,1297,Latin,珈
719,1278,876,1248,906,1407,750,1437,Latin,क
892,1298,949,1298,949,1360,892,1360,Latin,は
748,1469,870,1469,870,1609,748,1609,Latin,5
748,1652,879,1652,879,1775,748,1775,Latin,は
743,1827,879,1827,879,1958,743,1958,Latin,橋
