1207,380,1924,380,1924,575,1207,575,Latin,MANO
783,600,1868,520,1889,812,804,892,Latin,비口STETEICI
1760,833,1762,805,1840,811,1838,839,Latin,FREE
2257,942,2460,926,2471,1069,2268,1085,Latin,26
759,1181,801,1181,801,1186,759,1186,Latin,-일RAN
1216,1192,1848,1170,1851,1239,1218,1261,Latin,0239560045
1033,1202,1212,1202,1212,1255,1033,1255,Latin,+39
801,1181,1007,1181,1007,1260,801,1260,Latin,TEL.:
1396,1265,1702,1259,1703,1302,1397,1308,Latin,anohostel.it
1149,1272,1392,1264,1393,1309,1150,1317,Latin,infomil
933,1271,1128,1271,1128,1313,933,1313,Latin,E-mail.:
943,1329,1676,1313,1677,1356,944,1372,Latin,WWW.MILANOHOSTELIUT
