822,953,1377,953,1377,1154,822,1154,Latin,보와다!
274,1143,281,972,760,990,754,1161,Latin,악마를
845,1295,854,1170,1127,1189,1118,1315,Latin,세َ지ধ
442,1189,817,1189,817,1276,442,1276,Latin,TEICAL子
0,1526,96,1526,96,1587,0,1587,Latin,n2
444,2028,446,1916,994,1926,992,2037,Latin,미태생의
1012,2048,1015,1936,1296,1944,1293,2056,Latin,콜육
542,2050,905,2050,905,2133,542,2133,Latin,성َامريه
921,2132,928,2060,1124,2079,1117,2152,Latin,합스국
949,2125,970,2125,970,2138,949,2138,Latin,V
72,2321,269,2307,272,2352,75,2366,Latin,Room3
