319,0,481,0,481,92,319,92,Latin,जك
754,141,790,135,793,151,757,157,Latin,Craty
140,149,205,149,205,188,140,188,Latin,W"
1553,256,1561,196,1717,218,1709,278,Latin,MOOB
1336,292,1340,263,1437,280,1433,308,Latin,포장&배e
1323,333,1329,294,1451,315,1444,355,Latin,TAKE-00T
1584,337,1587,312,1660,321,1657,346,Latin,마이크내
1570,378,1575,343,1690,360,1685,395,Latin,미戦400원!
1802,373,1806,349,1875,363,1870,387,Latin,합ৌধঃ
1792,413,1797,382,1891,398,1886,429,Latin,희균빌人
873,433,1009,402,1016,434,880,465,Latin,저工য়ব니Be!
753,424,826,409,830,432,757,447,Latin,SETOME
751,459,870,435,876,466,757,489,Latin,心房도중약내인는
92,603,140,603,140,643,92,643,Latin,録出
540,757,739,728,767,925,568,954,Latin,치
1569,778,1744,778,1744,984,1569,984,Latin,١০
1853,787,2020,787,2020,962,1853,962,Latin,치
122,804,520,804,520,1019,122,1019,Latin,다흥
2103,820,2256,793,2296,1018,2143,1045,Latin,고
756,1040,957,1022,962,1077,761,1095,Latin,383-111
581,1054,717,1040,723,1096,587,1110,Latin,궁동점
872,1159,965,1151,967,1179,874,1186,Latin,Osesmas
857,1294,970,1294,970,1408,857,1408,Latin,R
2374,1355,2444,1355,2444,1451,2374,1451,Latin,l
873,1397,946,1391,962,1572,889,1578,Latin,고명
920,1417,924,1402,958,1412,954,1427,Latin,R
2391,1495,2444,1495,2444,1539,2391,1539,Latin,조치
861,1578,944,1578,944,1674,861,1674,Latin,Do
157,1657,245,1657,245,1687,157,1687,Latin,こえチネニなरे은
