745,206,751,182,1140,285,1134,308,Latin,-dihastans
1198,701,1198,678,1245,678,1245,701,Latin,50%
1485,1065,1549,1065,1549,1085,1485,1085,Latin,SUMME
534,1534,555,1296,1205,1351,1185,1589,Latin,포인트
890,1431,1700,1206,1809,1599,999,1824,Latin,박ョ話
148,1341,495,1333,501,1563,154,1571,Latin,1만
588,1349,608,1349,608,1355,588,1355,Latin,SWISS
187,1636,314,1636,314,1682,187,1682,Latin,2016.
383,1685,384,1632,551,1636,550,1689,Latin,1(WED)
661,1632,845,1632,845,1686,661,1686,Latin,30(THUJ
317,1636,384,1632,387,1681,319,1685,Latin,6.1
604,1636,661,1636,661,1682,604,1682,Latin,6.3
