574,672,586,530,710,540,698,683,Latin,自
583,659,612,659,612,699,583,699,Latin,R
548,688,717,688,717,845,548,845,Latin,総
427,736,524,731,534,932,437,937,Latin,営入
579,829,717,815,735,991,596,1005,Latin,网
589,973,740,973,740,1160,589,1160,Latin,মা
445,960,534,955,544,1163,454,1167,Latin,|০
455,1177,548,1177,548,1282,455,1282,Latin,পै
592,1169,746,1158,758,1311,604,1322,Latin,宣
460,1294,560,1294,560,1393,460,1393,Latin,岩
606,1329,764,1329,764,1480,606,1480,Latin,快
466,1405,565,1405,565,1486,466,1486,Latin,女
466,1486,565,1486,565,1527,466,1527,Latin,-
624,1492,775,1492,775,1632,624,1632,Latin,水
472,1527,554,1527,554,1609,472,1609,Latin,비회危
472,1620,472,1597,536,1597,536,1620,Latin,-
472,1626,519,1626,519,1632,472,1632,Latin,srigk-991954
472,1615,577,1615,577,1708,472,1708,Latin,松
635,1655,775,1655,775,1766,635,1766,Latin,!무
513,1725,572,1708,579,1731,520,1748,Latin,ÉTi
469,1806,479,1722,592,1736,582,1820,Latin,状
606,1772,781,1772,781,1947,606,1947,Latin,학회
484,1801,519,1801,519,1836,484,1836,Latin,l
175,1830,227,1830,227,1883,175,1883,Latin,WES
479,1836,577,1822,591,1918,493,1932,Latin,中
473,2062,502,1920,810,1982,782,2124,Latin,心방
