332,582,342,271,1445,304,1436,615,Latin,FEANZIN
950,306,973,306,973,315,950,315,Latin,SPASE
355,692,356,634,904,643,903,702,Latin,Motorizzazioni
956,711,956,647,1381,647,1381,711,Latin,Riparazioni
647,774,648,719,1093,725,1093,780,Latin,installazioni
351,874,353,827,458,831,456,878,Latin,Tel.
670,877,670,828,819,828,819,877,Latin,1058
472,831,583,831,583,877,472,877,Latin,055
606,877,606,831,670,831,670,877,Latin,64
854,833,982,833,982,880,854,880,Latin,Cell.
1005,880,1005,833,1113,833,1113,880,Latin,338
1133,880,1134,830,1376,833,1375,883,Latin,9573882
