251,1599,261,1208,2516,1268,2505,1659,Latin,MOCACCINO
293,1715,493,1715,493,1808,293,1808,Latin,Cafte
500,1715,607,1715,607,1808,500,1808,Latin,In
612,1810,614,1715,872,1722,869,1817,Latin,clalda
867,1815,873,1722,1197,1744,1191,1837,Latin,Lavazza.
1507,1836,1512,1721,1880,1739,1875,1854,Latin,zucchero
1229,1843,1229,1736,1493,1736,1493,1843,Latin,acqua.
1846,1971,1874,1733,2152,1765,2124,2004,Latin,Manten
2086,1858,2086,1750,2379,1750,2379,1858,Latin,sotmut
2500,1765,2700,1765,2700,1872,2500,1872,Latin,Siero
2707,1772,2829,1772,2829,1872,2707,1872,Latin,di
2836,1772,3000,1772,3000,1865,2836,1865,Latin,tatte
3007,1779,3100,1779,3100,1872,3007,1872,Latin,In
3107,1786,3414,1786,3414,1886,3107,1886,Latin,polvere.
3447,1884,3450,1791,3746,1802,3743,1895,Latin,lattosio.
297,1930,300,1850,524,1858,521,1938,Latin,cacao
557,1951,557,1865,836,1865,836,1951,Latin,magro.
857,1858,1036,1858,1036,1951,857,1951,Latin,sale.
1050,1965,1050,1865,1407,1865,1407,1965,Latin,sciroppo
1407,1979,1407,1872,1864,1872,1864,1979,Latin,dglucogio
2314,2015,2314,1893,2564,1893,2564,2015,Latin,grase
2559,1988,2564,1893,2695,1901,2689,1996,Latin,di
2693,1908,2893,1908,2893,1993,2693,1993,Latin,COCCO
2914,1915,3071,1915,3071,2001,2914,2001,Latin,non
3079,2015,3079,1915,3500,1915,3500,2015,Latin,ldrogenati.
3528,2014,3533,1916,3768,1928,3763,2027,Latin,fecola
307,2065,307,1972,414,1972,414,2065,Latin,dl
407,1979,671,1979,671,2072,407,2072,Latin,patate.
707,2072,707,1979,957,1979,957,2072,Latin,aroml.
986,1986,1279,1986,1279,2079,986,2079,Latin,addens
1297,2085,1301,1990,1540,2000,1536,2096,Latin,E412.
1548,2092,1551,1993,1829,2002,1826,2101,Latin,stabll
1836,2108,1836,2008,2100,2008,2100,2108,Latin,ES401
2514,2029,2764,2029,2764,2122,2514,2122,Latin,E471.
